,LSF_ID,Province,District,number,Plot_area,Cropping_System,Crops_In_Plot,crop_name,crop area (m2),number trees, trees susceptible six months,Sowing date,harvesting data,seeds type,quantity seeds sown unity,quantity seeds sown,qualitiy of seeds purchased,Amount purchased,quanitiy improved seeds unity,quanitiy improved seeds ,quanitiy improved seeds purchased,improved seeds price,improved seeds origin,quanitiy harvested (kg),remaining harvested,total harvested,Production Status,Produce sold,farm gate price of crop,crop_group
374,52002.0,East,Nyagatare,8.0,19020.8,Pure,1.0,Maize,19020.8,,,Between 16-30/09,Between 01-28/02,Improved seeds,,,,,Kg,59.0,59.0,26511.0,RAB/NAEB/SECTOR,3273.0,6546.0,9819.0,Other reason(Specify),No,,Maize
375,52002.0,East,Nyagatare,11.0,18735.037,Pure,1.0,Maize,18735.037,,,Between 01-15/09,Between 01-28/02,Improved seeds,,,,,Kg,58.0,58.0,26093.0,RAB/NAEB/SECTOR,3221.0,6442.7,9663.7,Other reason(Specify),No,,Maize
376,52003.0,East,Nyagatare,2.0,57615.812,Pure,1.0,Maize,57615.812,,,Between 16-30/09,Between 01-28/02,Improved seeds,,,,,Kg,225.0,225.0,112500.0,RAB/NAEB/SECTOR,0.0,40000.0,40000.0,Insufficient rainfall,No,,Maize
377,52003.0,East,Nyagatare,3.0,12957.768,Pure,1.0,Maize,12957.768,,,Between 01-15/10,Between 01-28/02,Improved seeds,,,,,Kg,25.0,25.0,12500.0,RAB/NAEB/SECTOR,0.0,1500.0,1500.0,Insufficient rainfall,No,,Maize
378,52003.0,East,Nyagatare,4.0,33203.04,Pure,1.0,Bush bean,33203.04,,,Between 01-15/09,between 01-15/01,Improved seeds,,,,,Kg,75.0,75.0,75000.0,RAB/NAEB/SECTOR,1200.0,0.0,1200.0,Insufficient rainfall,Yes,800.0,Bush bean
379,52004.0,East,Nyagatare,2.0,61521.74,Mixed,3.0,Maize,26915.76,,,Between 01-15/10,Between 01-28/02,Both(Trad and Improved,Kg,89.5,89.5,35800.0,Kg,50.0,0.0,,Recognized seed multipliers/NGO,0.0,3382.5,3382.5,Insufficient rainfall,No,,Maize
380,52004.0,East,Nyagatare,2.0,61521.74,Mixed,3.0,Bush bean,30760.87,,,Between 01-15/10,between 01-15/01,Traditional seeds,Kg,191.5,191.5,76600.0,,,,,,1654.0,0.0,1654.0,Insufficient rainfall,No,,Bush bean
381,52004.0,East,Nyagatare,2.0,61521.74,Mixed,3.0,Groundnut,3845.1086,,,Between 01-15/10,between 16- 31/01,Traditional seeds,Kg,86.0,86.0,103300.0,,,,,,0.0,258.0,258.0,Insufficient rainfall,No,,Groundnut
382,52004.0,East,Nyagatare,3.0,36595.78,Mixed,3.0,Maize,15068.852,,,Between 01-15/10,between 16- 31/01,Traditional seeds,Kg,83.0,83.0,33200.0,,,,,,0.0,2014.0,2014.0,Insufficient rainfall,No,,Maize
383,52004.0,East,Nyagatare,3.0,36595.78,Mixed,3.0,Sorghum,6458.0786,,,Between 01-15/09,between 16- 31/01,Traditional seeds,Kg,60.0,0.0,,,,,,,0.0,2482.0,2482.0,Insufficient rainfall,No,,Sorghum
384,52004.0,East,Nyagatare,3.0,36595.78,Mixed,3.0,Bush bean,15068.852,,,Between 01-15/10,between 01-15/01,Traditional seeds,Kg,83.0,83.0,33200.0,,,,,,984.5,0.0,984.5,Insufficient rainfall,No,,Bush bean
385,52004.0,East,Nyagatare,4.0,2322.3193,Mixed,2.0,Maize,516.0709,,,Between 01-15/09,between 16- 31/01,Traditional seeds,Kg,5.0,5.0,2000.0,,,,,,0.0,10.0,10.0,Insufficient rainfall,No,,Maize
386,52004.0,East,Nyagatare,4.0,2322.3193,Mixed,2.0,Sorghum,1806.2484,,,Between 01-15/09,between 16- 31/01,Traditional seeds,Kg,4.0,0.0,,,,,,,0.0,15.0,15.0,Insufficient rainfall,No,,Sorghum
387,52004.0,East,Nyagatare,5.0,4673.1733,Mixed,4.0,Maize,1649.3551,,,Between 01-15/10,between 16- 31/01,Traditional seeds,Kg,10.5,10.5,4200.0,,,,,,0.0,258.5,258.5,Insufficient rainfall,No,,Maize
388,52004.0,East,Nyagatare,5.0,4673.1733,Mixed,4.0,Sorghum,824.67755,,,Between 16-30/09,between 16- 31/01,Traditional seeds,Kg,8.5,0.0,,,,,,,0.0,446.5,446.5,Insufficient rainfall,No,,Sorghum
389,52004.0,East,Nyagatare,5.0,4673.1733,Mixed,4.0,Bush bean,1649.3551,,,Between 01-15/10,between 01-15/01,Traditional seeds,Kg,15.0,15.0,6000.0,,,,,,126.5,0.0,126.5,Insufficient rainfall,No,,Bush bean
390,52004.0,East,Nyagatare,5.0,4673.1733,Mixed,4.0,Groundnut,549.78503,,,Between 01-15/10,between 01-15/01,Traditional seeds,Kg,6.5,6.5,7800.0,,,,,,20.0,0.0,20.0,Insufficient rainfall,No,,Groundnut
391,52004.0,East,Nyagatare,6.0,10183.678,Pure,1.0,Sorghum,10183.678,,,Between 16-30/09,between 16- 31/01,Traditional seeds,Kg,23.0,0.0,,,,,,,0.0,1208.0,1208.0,Insufficient rainfall,No,,Sorghum
392,52004.0,East,Nyagatare,7.0,5898.21,Mixed,2.0,Maize,2793.8887,,,Between 01-15/10,between 16- 31/01,Traditional seeds,Kg,13.5,13.5,5400.0,,,,,,0.0,325.0,325.0,Insufficient rainfall,No,,Maize
393,52004.0,East,Nyagatare,7.0,5898.21,Mixed,2.0,Bush bean,3104.321,,,Between 01-15/10,between 01-15/01,Traditional seeds,Kg,18.5,18.5,7400.0,,,,,,159.0,0.0,159.0,Insufficient rainfall,No,,Bush bean
394,52004.0,East,Nyagatare,8.0,3161.54,Mixed,3.0,Maize,1229.4878,,,Between 01-15/10,between 16- 31/01,Traditional seeds,Kg,7.0,7.0,2800.0,,,,,,0.0,176.0,176.0,Insufficient rainfall,No,,Maize
395,52004.0,East,Nyagatare,8.0,3161.54,Mixed,3.0,Bush bean,1405.1288,,,Between 01-15/10,between 01-15/01,Traditional seeds,Kg,10.0,10.0,4000.0,,,,,,86.0,0.0,86.0,Insufficient rainfall,No,,Bush bean
396,52004.0,East,Nyagatare,8.0,3161.54,Mixed,3.0,Groundnut,526.92334,,,Between 01-15/10,between 16- 31/01,Traditional seeds,Kg,4.5,4.5,5400.0,,,,,,0.0,13.5,13.5,Insufficient rainfall,No,,Groundnut
397,52004.0,East,Nyagatare,9.0,16477.535,Mixed,2.0,Maize,7754.134,,,Between 16-30/09,between 16- 31/01,Traditional seeds,Kg,37.5,37.5,14800.0,,,,,,0.0,908.0,908.0,Insufficient rainfall,No,,Maize
398,52004.0,East,Nyagatare,9.0,16477.535,Mixed,2.0,Bush bean,8723.4,,,Between 01-15/10,between 01-15/01,Traditional seeds,Kg,51.0,51.0,20400.0,,,,,,443.5,0.0,443.5,Insufficient rainfall,No,,Bush bean
399,52004.0,East,Nyagatare,10.0,5594.9546,Pure,1.0,Maize,5594.9546,,,Between 01-15/10,between 16- 31/01,Traditional seeds,Kg,13.0,13.0,5200.0,,,,,,0.0,308.0,308.0,Insufficient rainfall,No,,Maize
400,52006.0,East,Nyagatare,2.0,46023.254,Mixed,2.0,Maize,46023.254,,,Between 01-15/09,Between 01-28/02,Improved seeds,,,,,Kg,138.0,138.0,42780.0,RAB/NAEB/SECTOR,0.0,36800.0,36800.0,Insufficient rainfall,No,,Maize
401,52006.0,East,Nyagatare,2.0,46023.254,Mixed,2.0,Mango,2301.1628,72.0,0.0,Not applicable,Not applicable,Improved seeds,,,,,NA,0.0,0.0,72000.0,RAB/NAEB/SECTOR,1100.0,0.0,1100.0,Insufficient rainfall,Yes,150.0,Fruits
402,52006.0,East,Nyagatare,4.0,31929.477,Mixed,2.0,Maize,31929.477,,,Between 01-15/09,Between 01-28/02,Improved seeds,,,,,Kg,95.7,95.7,29667.0,RAB/NAEB/SECTOR,0.0,25520.0,25520.0,Good harvest as it was expected,No,,Maize
403,52006.0,East,Nyagatare,4.0,31929.477,Mixed,2.0,Mango,1596.4738,56.0,0.0,Not applicable,Not applicable,Improved seeds,,,,,NA,0.0,0.0,0.0,RAB/NAEB/SECTOR,900.0,0.0,900.0,Insufficient rainfall,Yes,150.0,Fruits
404,52006.0,East,Nyagatare,6.0,28901.69,Pure,1.0,Maize,28901.69,,,Between 01-15/09,Between 01-28/02,Improved seeds,,,,,Kg,65.0,65.0,20150.0,RAB/NAEB/SECTOR,0.0,23120.0,23120.0,Good harvest as it was expected,No,,Maize
405,52006.0,East,Nyagatare,8.0,29515.887,Pure,1.0,Maize,29515.887,,,Between 01-15/09,Between 01-28/02,Improved seeds,,,,,Kg,88.0,88.0,27280.0,RAB/NAEB/SECTOR,0.0,23600.0,23600.0,Good harvest as it was expected,No,,Maize
406,52006.0,East,Nyagatare,10.0,31459.56,Pure,1.0,Maize,31459.56,,,Between 01-15/09,Between 01-28/02,Improved seeds,,,,,Kg,94.5,94.5,29295.0,RAB/NAEB/SECTOR,0.0,25200.0,25200.0,Good harvest as it was expected,No,,Maize
407,52007.0,East,Nyagatare,2.0,26326.225,Mixed,2.0,Maize,2149.0796,,,Between 01-15/09,Between 01-28/02,Traditional seeds,Kg,6.5,6.5,2600.0,,,,,,0.0,500.0,500.0,Insufficient rainfall,No,,Maize
408,52007.0,East,Nyagatare,2.0,26326.225,Mixed,2.0,Sorghum,24177.145,,,Between 01-15/09,Between 01-28/02,Traditional seeds,Kg,70.0,70.0,3500.0,,,,,,6000.0,3200.0,9200.0,Insufficient rainfall,No,,Sorghum
