,LSF_ID,Province,District,Plot No,Plot area(m^2),Organic fertilizer,organic fertilizer used (kg),inorganic fertilizer,inorganic fertilizer type,inorganic fertilizer used (kg),source inorganic fertilizer
181,21001.0,South,Nyanza,12.0,7444.52194894,1,750.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
182,21001.0,South,Nyanza,12.0,7444.52194894,1,750.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
183,21001.0,South,Nyanza,13.0,2853.31194144,1,300.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
184,21001.0,South,Nyanza,13.0,2853.31194144,1,300.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
185,21001.0,South,Nyanza,13.0,2853.31194144,1,300.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
186,21001.0,South,Nyanza,17.0,1987.53238088,1,200.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
187,21001.0,South,Nyanza,17.0,1987.53238088,1,200.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
188,21001.0,South,Nyanza,17.0,1987.53238088,1,200.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
189,21001.0,South,Nyanza,18.0,5210.4638453,1,500.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
190,21001.0,South,Nyanza,18.0,5210.4638453,1,500.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
191,21001.0,South,Nyanza,18.0,5210.4638453,1,500.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
192,21001.0,South,Nyanza,19.0,93421.1577484,1,7000.0,1,Urea,373.5,Market
193,21001.0,South,Nyanza,19.0,93421.1577484,1,7000.0,1,DAP,1494.0,Market
194,21001.0,South,Nyanza,20.0,125485.334136,1,1000.0,1,DAP,2008.0,Market
195,21001.0,South,Nyanza,20.0,125485.334136,1,1000.0,1,Urea,502.0,Market
196,21001.0,South,Nyanza,21.0,20235.1210531,1,1600.0,1,Urea,80.0,Market
197,21001.0,South,Nyanza,21.0,20235.1210531,1,1600.0,1,DAP,322.0,Market
198,21001.0,South,Nyanza,23.0,10829.3942493,1,850.0,1,DAP,172.0,Market
