,LSF_ID,Province,District,Plot No,Plot area(m^2),Organic fertilizer,organic fertilizer used (kg),inorganic fertilizer,crop_name,DAP,N/Ainorganic fertilizer type,NPK 17-17-17,Urea,Lliquid urea,Other inorganic fertilizer (to specify),NPK 20-10-10,KCL/MOP,NPK 25-5-5
714072,51016.0,East,Rwamagana,6.0,10669.6856468,0,0.0,1,Maize,80.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0
725593,51018.0,East,Rwamagana,1.0,746365.625,0,0.0,1,Paddy rice,0.0,0.0,5564000.0,1899250.0,0.0,0.0,0.0,0.0,0.0
728473,51019.0,East,Rwamagana,1.0,1096293.625,0,0.0,1,Paddy rice,0.0,0.0,7740000.0,0.0,0.0,0.0,0.0,0.0,0.0
731353,51020.0,East,Rwamagana,1.0,537212.5625,0,0.0,1,Paddy rice,0.0,0.0,6800.0,3400.0,0.0,0.0,0.0,0.0,0.0
742896,52002.0,East,Nyagatare,2.0,43447.0689729,1,3746.0,1,Maize,184295.0,0.0,0.0,93010.0,0.0,0.0,0.0,0.0,0.0
745776,52002.0,East,Nyagatare,4.0,17800.123775,1,1533.0,1,Maize,79130.0,0.0,0.0,40115.0,0.0,0.0,0.0,0.0,0.0
748656,52002.0,East,Nyagatare,6.0,17097.5137476,1,1472.0,1,Maize,7286.5,0.0,0.0,36565.0,0.0,0.0,0.0,0.0,0.0
751536,52002.0,East,Nyagatare,8.0,19020.8000591,1,1636.0,1,Maize,80360.0,0.0,0.0,40647.0,0.0,0.0,0.0,0.0,0.0
754416,52002.0,East,Nyagatare,11.0,18735.0381813,1,1610.0,1,Maize,79130.0,0.0,0.0,4082.5,0.0,0.0,0.0,0.0,0.0
757296,52003.0,East,Nyagatare,2.0,57615.8164381,1,8500.0,1,Maize,112750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
760176,52003.0,East,Nyagatare,3.0,12957.7678026,1,1500.0,1,Maize,12500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
763059,52003.0,East,Nyagatare,4.0,33203.0381337,1,2500.0,1,Bush bean,8200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
786096,52006.0,East,Nyagatare,2.0,46023.2542783,1,1643.0,1,Maize,184500.0,0.0,0.0,166500.0,0.0,0.0,0.0,0.0,0.0
788976,52006.0,East,Nyagatare,4.0,31929.4752089,1,1140.0,1,Maize,123000.0,0.0,0.0,111000.0,0.0,0.0,0.0,0.0,0.0
